f,alpha
377.0,0.2651244816511662
397.28859060402687,0.2770243866708917
417.5771812080537,0.2879651093084128
437.86577181208054,0.2980603884180697
458.1543624161074,0.3074616788306457
478.44295302013427,0.3163529752133626
498.7315436241611,0.32494611951533214
519.020134228188,0.3334768881458935
539.3087248322148,0.3422019837611503
559.5973154362416,0.35139688909463174
579.8859060402685,0.36135437750786126
600.1744966442953,0.3723833106664073
620.4630872483222,0.3848071774389755
640.7516778523491,0.39896162896878573
661.0402684563759,0.41519003754838757
681.3288590604027,0.43383586010838593
701.6174496644296,0.4552303559119689
721.9060402684564,0.47967407079027413
742.1946308724832,0.5074105969771323
762.4832214765102,0.5385916610049409
782.771812080537,0.5732338510273253
803.0604026845638,0.6111695179419556
823.3489932885907,0.6519976292758684
843.6375838926175,0.6950442189268226
863.9261744966443,0.739345423009961
884.2147651006712,0.7836670100863722
904.503355704698,0.8265706468908548
924.7919463087248,0.8665277557626878
945.0805369127518,0.9020681584763486
965.3691275167786,0.9319373927399247
985.6577181208054,0.955229884053698
1005.9463087248323,0.9714693792559209
1026.2348993288592,0.9806223740390444
1046.523489932886,0.9830486713093711
1066.8120805369128,0.9794080284477481
1087.1006711409395,0.9705481912246214
1107.3892617449665,0.9573972945069129
1127.6778523489934,0.9408759584628166
1147.9664429530203,0.9218355940602192
1168.255033557047,0.9010224175681664
1188.543624161074,0.8790625835751523
1208.8322147651006,0.8564624036821357
1229.1208053691275,0.8336179299737877
1249.4093959731545,0.8108293394398942
1269.6979865771814,0.7883169097049874
1289.986577181208,0.7662365757745584
1310.275167785235,0.7446939709431679
1330.5637583892617,0.7237564789161423
1350.8523489932886,0.7034632108057319
1371.1409395973155,0.6838330353428262
1391.4295302013425,0.6648708916894117
1411.7181208053692,0.6465726461135242
1432.006711409396,0.6289287473419656
1452.295302013423,0.6119269103683569
1472.5838926174497,0.5955540266730857
1492.8724832214766,0.5797974666754486
1513.1610738255035,0.5646459109311779
1533.4496644295302,0.5500898212934602
1553.7382550335572,0.5361216420876427
1574.026845637584,0.5227358039111416
1594.3154362416108,0.5099285883688953
1614.6040268456377,0.4976979002898865
1634.8926174496646,0.4860429842087086
1655.1812080536913,0.4749641137183679
1675.4697986577182,0.46446227538564544
1695.7583892617452,0.4545388630512345
1716.0469798657718,0.445195393360201
1736.3355704697988,0.43643324918845705
1756.6241610738257,0.42825345417980687
1776.9127516778524,0.4206564788354107
1797.2013422818793,0.41364207645839957
1817.4899328859062,0.40720914570184763
1837.778523489933,0.40135561545039056
1858.0671140939598,0.39607834722368773
1878.3557046979868,0.3913730501695355
1898.6442953020135,0.38723420394726127
1918.9328859060404,0.3836549853362011
1939.2214765100673,0.3806271951704724
1959.510067114094,0.3781411831526751
1979.798657718121,0.3761857691763859
2000.0872483221478,0.37474816093549745
2020.3758389261745,0.37381386878256573
2040.6644295302015,0.3733666199306831
2060.9530201342286,0.37338827516333317
2081.241610738255,0.37385875213692954
2101.530201342282,0.3747559600759556
2121.818791946309,0.3760557511303799
2142.1073825503354,0.3777318938160473
2162.3959731543628,0.37975607375135745
2182.6845637583892,0.38209792628830486
2202.973154362416,0.3847251045667588
2223.261744966443,0.3876033849281908
2243.55033557047,0.39069680938435647
2263.838926174497,0.3939678616796737
2284.1275167785234,0.3973776688914501
2304.4161073825508,0.4008862135314112
2324.7046979865772,0.4044525303633718
2344.993288590604,0.4080348466672621
2365.281879194631,0.4115906080916908
2385.570469798658,0.41507633651562503
2405.859060402685,0.4184473631097758
2426.1476510067114,0.42165781220797527
2446.4362416107383,0.4246618099242464
2466.7248322147652,0.4274169451991118
2487.013422818792,0.4298887059714396
2507.302013422819,0.43205127388896736
2527.590604026846,0.4338828174918401
2547.8791946308725,0.4353604814828621
2568.1677852348994,0.4364593979854171
2588.4563758389263,0.4371546949010041
2608.7449664429532,0.43742390989239976
2629.03355704698,0.43724844401409013
2649.322147651007,0.43661419069434104
2669.6107382550335,0.43551188932508045
2689.8993288590605,0.4339374923913508
2710.1879194630874,0.4318926122292902
2730.4765100671143,0.42938504358945795
2750.765100671141,0.4264293497312489
2771.053691275168,0.42304750144056136
2791.3422818791946,0.41926955891869444
2811.6308724832215,0.415134386177764
2831.9194630872485,0.4106903877478406
2852.2080536912754,0.4059962588708347
2872.4966442953023,0.40112174303855563
2892.785234899329,0.39614839420547654
2913.0738255033557,0.39117034382816307
2933.3624161073826,0.38629507205373703
2953.6510067114095,0.3816441722735716
2973.9395973154365,0.3773540688890571
2994.2281879194634,0.37357658270616734
3014.5167785234903,0.3704791106385231
3034.805369127517,0.36824396063158127
3055.0939597315437,0.3670660248922314
3075.3825503355706,0.36714749555471515
3095.6711409395975,0.3686878961958773
3115.9597315436245,0.37186786363083213
3136.2483221476514,0.37682700068785746
3156.5369127516783,0.38364111492759134
3176.8255033557048,0.3923118017704865
3197.1140939597317,0.4027853028081565
3217.4026845637586,0.4150055548999696
3237.6912751677855,0.428974938442529
3257.9798657718125,0.4447722661775121
3278.2684563758394,0.46250280803677835
3298.557046979866,0.4822445302307641
3318.8456375838928,0.5042346387277512
3339.1342281879197,0.5294372813360888
3359.4228187919466,0.5597296617741736
3379.7114093959735,0.5771490471001268
3400.0,0.6088137098187343
